Código IBGE,Nível Regional,Ano,Indicador,Sexo e Raça/Cor,Classe CNAE (5 dígitos),Valor,Grupo CNAE (3 dígitos),Divisão CNAE (2 dígitos),Seção CNAE (1 dígito)
310900,Município,2024,Número de Empregos,Homem - PPI,47296,3,472,47,G
310900,Município,2024,Número de Empregos,Homem - PPI,47318,46,473,47,G
310900,Município,2024,Número de Empregos,Homem - PPI,47415,2,474,47,G
310900,Município,2024,Número de Empregos,Homem - PPI,47431,8,474,47,G
310900,Município,2024,Número de Empregos,Homem - PPI,47440,93,474,47,G
310900,Município,2024,Número de Empregos,Homem - PPI,47539,2,475,47,G
310900,Município,2024,Número de Empregos,Homem - PPI,47547,2,475,47,G
310900,Município,2024,Número de Empregos,Homem - PPI,47610,3,476,47,G
310900,Município,2024,Número de Empregos,Homem - PPI,47717,18,477,47,G
310900,Município,2024,Número de Empregos,Homem - PPI,47725,1,477,47,G
310900,Município,2024,Número de Empregos,Homem - PPI,47814,2,478,47,G
310900,Município,2024,Número de Empregos,Homem - PPI,47822,1,478,47,G
310900,Município,2024,Número de Empregos,Homem - PPI,47849,16,478,47,G
310900,Município,2024,Número de Empregos,Homem - PPI,47890,37,478,47,G
310900,Município,2024,Número de Empregos,Homem - PPI,49213,39,492,49,H
310900,Município,2024,Número de Empregos,Homem - PPI,49221,4,492,49,H
310900,Município,2024,Número de Empregos,Homem - PPI,49299,117,492,49,H
310900,Município,2024,Número de Empregos,Homem - PPI,49302,315,493,49,H
310900,Município,2024,Número de Empregos,Homem - PPI,52125,43,521,52,H
310900,Município,2024,Número de Empregos,Homem - PPI,52508,73,525,52,H
310900,Município,2024,Número de Empregos,Homem - PPI,53105,7,531,53,H
310900,Município,2024,Número de Empregos,Homem - PPI,55108,47,551,55,I
310900,Município,2024,Número de Empregos,Homem - PPI,55906,1,559,55,I
310900,Município,2024,Número de Empregos,Homem - PPI,56112,67,561,56,I
310900,Município,2024,Número de Empregos,Homem - PPI,56201,18,562,56,I
310900,Município,2024,Número de Empregos,Homem - PPI,61108,2,611,61,J
310900,Município,2024,Número de Empregos,Homem - PPI,64221,3,642,64,K
310900,Município,2024,Número de Empregos,Homem - PPI,64239,2,642,64,K
310900,Município,2024,Número de Empregos,Homem - PPI,64247,2,642,64,K
310900,Município,2024,Número de Empregos,Homem - PPI,66193,2,661,66,K
310900,Município,2024,Número de Empregos,Homem - PPI,66223,1,662,66,K
310900,Município,2024,Número de Empregos,Homem - PPI,68102,3,681,68,L
310900,Município,2024,Número de Empregos,Homem - PPI,68218,2,682,68,L
310900,Município,2024,Número de Empregos,Homem - PPI,68226,1,682,68,L
310900,Município,2024,Número de Empregos,Homem - PPI,69117,1,691,69,M
310900,Município,2024,Número de Empregos,Homem - PPI,69125,7,691,69,M
310900,Município,2024,Número de Empregos,Homem - PPI,69206,6,692,69,M
310900,Município,2024,Número de Empregos,Homem - PPI,70204,9,702,70,M
310900,Município,2024,Número de Empregos,Homem - PPI,71120,43,711,71,M
310900,Município,2024,Número de Empregos,Homem - PPI,71197,1,711,71,M
310900,Município,2024,Número de Empregos,Homem - PPI,73190,4,731,73,M
310900,Município,2024,Número de Empregos,Homem - PPI,77195,5,771,77,N
310900,Município,2024,Número de Empregos,Homem - PPI,77322,8,773,77,N
310900,Município,2024,Número de Empregos,Homem - PPI,79112,4,791,79,N
310900,Município,2024,Número de Empregos,Homem - PPI,80200,2,802,80,N
